Department,College,Count,Total Citation,High,Avg,Low,Percentage High,Percentage Avg,Percentage Low,Percentage KFUPM,Percentage External,Percentage NA,KFUPM,External,NA
Mechanical Engineering Department,Engineering,317,1425,79.0,137.0,86.0,26.16,45.36,28.48,72.56,10.73,16.72,230.0,34.0,53.0
Chemistry Department,Sciences,271,2356,130.0,85.0,52.0,48.69,31.84,19.48,65.31,17.34,17.34,177.0,47.0,47.0
Petroleum Engineering Department,Petroleum Engineering & Geosciences,242,602,24.0,148.0,54.0,10.62,65.49,23.89,41.32,10.33,48.35,100.0,25.0,117.0
Center of Research Excellence in Nanotechnology,Research Institue,175,1659,70.0,79.0,25.0,40.23,45.40,14.37,63.43,28.57,8.0,111.0,50.0,14.0
Electrical Engineering Department,Engineering,166,696,25.0,89.0,45.0,15.72,55.97,28.30,79.52,9.04,11.45,132.0,15.0,19.0
Mathematics & Statistics Department,Sciences,147,388,3.0,31.0,99.0,2.26,23.31,74.44,64.63,14.29,21.09,95.0,21.0,31.0
Center of Research Excellence in Corrosion,Research Institue,131,1226,60.0,39.0,24.0,48.78,31.71,19.51,43.51,27.48,29.01,57.0,36.0,38.0
Chemical Engineering Department,Engineering,122,673,47.0,54.0,20.0,38.84,44.63,16.53,56.56,25.41,18.03,69.0,31.0,22.0
Phys Department,Sciences,103,425,33.0,44.0,24.0,32.67,43.56,23.76,80.58,12.62,6.8,83.0,13.0,7.0
Civil & Environmental Engineering Department,Engineering,101,1658,17.0,30.0,47.0,18.09,31.91,50.00,55.45,6.93,37.62,56.0,7.0,38.0
Center of Research Excellence in Renewable Energy,Research Institue,74,364,16.0,45.0,13.0,21.62,60.81,17.57,64.86,24.32,10.81,48.0,18.0,8.0
Systems Engineering Department,Computer Science & Engineering,71,237,18.0,41.0,8.0,26.87,61.19,11.94,52.11,11.27,36.62,37.0,8.0,26.0
Center for Engineering,Research Institue,53,105,5.0,19.0,17.0,12.20,46.34,41.46,58.49,11.32,30.19,31.0,6.0,16.0
Center for Environment & Water,Research Institue,51,395,20.0,20.0,11.0,39.22,39.22,21.57,49.02,27.45,23.53,25.0,14.0,12.0
Information & Computer Science Department,Computer Science & Engineering,50,61,2.0,19.0,19.0,5.00,47.50,47.50,82.0,6.0,12.0,41.0,3.0,6.0
Center for Integrative Petroleum Research,Petroleum Engineering & Geosciences,48,221,8.0,30.0,9.0,17.02,63.83,19.15,56.25,16.67,27.08,27.0,8.0,13.0
Computer Engineering Department,Computer Science & Engineering,39,127,8.0,17.0,12.0,21.62,45.95,32.43,82.05,5.13,12.82,32.0,2.0,5.0
Physical Education Department, General Studies,34,50,0.0,0.0,13.0,0.00,0.00,100.00,50.0,2.94,47.06,17.0,1.0,16.0
Architectural Engineering Department,Environmental Design,31,69,4.0,2.0,3.0,44.44,22.22,33.33,67.74,0.0,32.26,21.0,0.0,10.0
Center for Refining & Petrochemicals,Research Institue,24,118,3.0,17.0,4.0,12.50,70.83,16.67,33.33,25.0,41.67,8.0,6.0,10.0
Life Sciences Department,Sciences,16,88,5.0,6.0,5.0,31.25,37.50,31.25,56.25,18.75,25.0,9.0,3.0,4.0
Construction Engineering & Management Department,Environmental Design,10,12,1.0,5.0,0.0,16.67,83.33,0.00,30.0,10.0,60.0,3.0,1.0,6.0
Management & Marketing Department,KFUPM Business School,9,13,2.0,1.0,0.0,66.67,33.33,0.00,33.33,0.0,66.67,3.0,0.0,6.0
Center for Communication & IT,Research Institue,8,41,0.0,5.0,2.0,0.00,71.43,28.57,87.5,0.0,12.5,7.0,0.0,1.0
Aerospace Engineering Department,Engineering,7,7,3.0,1.0,2.0,50.00,16.67,33.33,42.86,28.57,28.57,3.0,2.0,2.0
Dammam Community College,Dammam Community College,6,7,1.0,1.0,2.0,25.00,25.00,50.00,33.33,33.33,33.33,2.0,2.0,2.0
City & Regional Planning Department,Environmental Design,5,19,1.0,2.0,1.0,25.00,50.00,25.00,80.0,20.0,0.0,4.0,1.0,0.0
Accounting & Management Information System,College of Industrial Management,4,5,0.0,0.0,0.0,nan,nan,nan,50.0,0.0,50.0,2.0,0.0,2.0
Global and Social Studies Department, General Studies,3,1,0.0,0.0,0.0,nan,nan,nan,33.33,0.0,66.67,1.0,0.0,2.0
Information System & Operations Management Department,KFUPM Business School,3,2,0.0,1.0,0.0,0.00,100.00,0.00,0.0,0.0,100.0,0.0,0.0,3.0
Center of Research Excellence in Islamic Banking and Finance,Research Institue,2,0,0.0,1.0,0.0,0.00,100.00,0.00,0.0,50.0,50.0,0.0,1.0,1.0
Geosciences Department,Petroleum Engineering & Geosciences,1,3,0.0,0.0,1.0,0.00,0.00,100.00,100.0,0.0,0.0,1.0,0.0,0.0
English Language Department, General Studies,1,0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,1.0
Center of Research Excellence in Energy Efficiency,Research Institue,1,0,0.0,1.0,0.0,0.00,100.00,0.00,100.0,0.0,0.0,1.0,0.0,0.0
Accounting & Finance Department,KFUPM Business School,1,0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,1.0
Islamic & Arabic Studies, General Studies,0,0,0.0,0.0,0.0,nan,nan,nan,,,,0.0,0.0,0.0
Architectural Department,Environmental Design,0,0,0.0,0.0,0.0,nan,nan,nan,,,,0.0,0.0,0.0
Center of Research Excellence in Development of Non-Profit Organizations,Research Institue,0,0,0.0,0.0,0.0,nan,nan,nan,,,,0.0,0.0,0.0
Prep-Year Program, General Studies,0,0,0.0,0.0,0.0,nan,nan,nan,,,,0.0,0.0,0.0
